species;order;family;temperature;int_rate;int_rate_se;sample_size;reference;doi;observations_i;observations_ii;feed_guild;source_dataset;lat;lon;body_length_mm;type_length;source_length
Pterohelaeus darlingensis;Coleoptera;Tenebrionidae;15.8;0.0013;;30;allsopp1981;10.1071/ZO9810605;;;soil borer;frazier2006;-27.47087187;151.4847267;50;larvae;https://cesaraustralia.com/
Pterohelaeus darlingensis;Coleoptera;Tenebrionidae;20.6;0.021;;30;allsopp1981;10.1071/ZO9810605;;;soil borer;frazier2006;-27.47087187;151.4847267;50;larvae;https://cesaraustralia.com/
Pterohelaeus darlingensis;Coleoptera;Tenebrionidae;24.4;0.0381;;30;allsopp1981;10.1071/ZO9810605;;;soil borer;frazier2006;-27.47087187;151.4847267;50;larvae;https://cesaraustralia.com/
Pterohelaeus darlingensis;Coleoptera;Tenebrionidae;28.6;0.05;;30;allsopp1981;10.1071/ZO9810605;;;soil borer;frazier2006;-27.47087187;151.4847267;50;larvae;https://cesaraustralia.com/
Pterohelaeus darlingensis;Coleoptera;Tenebrionidae;33.1;0.0236;;30;allsopp1981;10.1071/ZO9810605;;;soil borer;frazier2006;-27.47087187;151.4847267;50;larvae;https://cesaraustralia.com/
Pterohelaeus alternatus;Coleoptera;Tenebrionidae;20.6;0.0065;;30;allsopp1981;10.1071/ZO9810605;;;soil borer;frazier2006;-26.79714941;150.7193741;50;larvae;https://cesaraustralia.com/
Pterohelaeus alternatus;Coleoptera;Tenebrionidae;24.4;0.0307;;30;allsopp1981;10.1071/ZO9810605;;;soil borer;frazier2006;-26.79714941;150.7193741;50;larvae;https://cesaraustralia.com/
Pterohelaeus alternatus;Coleoptera;Tenebrionidae;28.6;0.0323;;30;allsopp1981;10.1071/ZO9810605;;;soil borer;frazier2006;-26.79714941;150.7193741;50;larvae;https://cesaraustralia.com/
Pterohelaeus alternatus;Coleoptera;Tenebrionidae;33.1;-0.0146;;30;allsopp1981;10.1071/ZO9810605;;;soil borer;frazier2006;-26.79714941;150.7193741;50;larvae;https://cesaraustralia.com/
Eriosoma lanigerum;Hemiptera;Aphididae;10;0;;40;asante1991;10.1111/j.1570-7458.1991.tb01546.x;;;sucker;frazier2006;-30.48993701;151.6410205;2.6;apterous;CABI
Eriosoma lanigerum;Hemiptera;Aphididae;13;0.0833;;55;asante1991;10.1111/j.1570-7458.1991.tb01546.x;;;sucker;frazier2006;-30.48993701;151.6410205;2.6;apterous;CABI
Eriosoma lanigerum;Hemiptera;Aphididae;15;0.1135;;30;asante1991;10.1111/j.1570-7458.1991.tb01546.x;;;sucker;frazier2006;-30.48993701;151.6410205;2.6;apterous;CABI
Eriosoma lanigerum;Hemiptera;Aphididae;20;0.1726;;42;asante1991;10.1111/j.1570-7458.1991.tb01546.x;;;sucker;frazier2006;-30.48993701;151.6410205;2.6;apterous;CABI
Eriosoma lanigerum;Hemiptera;Aphididae;25;0.1828;;36;asante1991;10.1111/j.1570-7458.1991.tb01546.x;;;sucker;frazier2006;-30.48993701;151.6410205;2.6;apterous;CABI
Eriosoma lanigerum;Hemiptera;Aphididae;30;0.1546;;36;asante1991;10.1111/j.1570-7458.1991.tb01546.x;;;sucker;frazier2006;-30.48993701;151.6410205;2.6;apterous;CABI
Myzus persicae;Hemiptera;Aphididae;5;0.009591837;;;barlow1962;10.1139/z62-019;;;sucker;frazier2006;42.40490591;-82.19734863;2.1;apterous females;CABI
Myzus persicae;Hemiptera;Aphididae;10;0.017142857;;;barlow1962;10.1139/z62-019;;;sucker;frazier2006;42.40490591;-82.19734863;2.1;apterous females;CABI
Myzus persicae;Hemiptera;Aphididae;15;0.048571429;;;barlow1962;10.1139/z62-020;;;sucker;frazier2006;42.40490591;-82.19734863;2.1;apterous females;CABI
Myzus persicae;Hemiptera;Aphididae;20;0.063877551;;;barlow1962;10.1139/z62-021;;;sucker;frazier2006;42.40490591;-82.19734863;2.1;apterous females;CABI
Myzus persicae;Hemiptera;Aphididae;25;0.064285714;;;barlow1962;10.1139/z62-022;;;sucker;frazier2006;42.40490591;-82.19734863;2.1;apterous females;CABI
Macrosiphum euphorbiae;Hemiptera;Aphididae;10;0.052857143;;;barlow1962;10.1139/z62-019;;;sucker;frazier2006;42.40490591;-82.19734863;3.6;apterous;New Brunswick Government
Macrosiphum euphorbiae;Hemiptera;Aphididae;15;0.108571429;;;barlow1962;10.1139/z62-020;;;sucker;frazier2006;42.40490591;-82.19734863;3.6;apterous;New Brunswick Government
